topic,count,default_name,year_min,year_max,top_documents
-1,277,-1_ranaway_whip_aaron_letter,1760,1922,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 59 | Life and Adventures of James Williams, a Fugitive Slave, with a Full Description of the Underground Railroad (James  Williams): 21 | Truth Stranger Than Fiction. Father Henson's Story of His Own Life (Josiah  Henson): 20 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 18 | Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 17"
0,76,0_whip_flog_overseer_tie,1838,1895,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 58 | The Experience of a Slave in South Carolina (John Andrew Jackson): 5 | The Light and Truth of Slavery. Aaron's History (  Aaron): 2 | Sunshine and Shadow of Slave Life. Reminiscences as told by Isaac D. Williams to ""Tege"" (Isaac D. Williams): 2 | The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 1"
1,66,1_government_constitution_liberty_american,1839,1922,"Life and Opinions of Julius Melbourn; with Sketches of the Lives and Characters of Thomas Jefferson, John Quincy Adams, John Randolph, and Several Other Eminent American Statesmen (Julius  Melbourn): 25 | Narrative of Henry Box Brown, Who Escaped from Slavery, Enclosed in a Box 3 Feet Long and 2 Wide. Written from a Statement of Facts Made by Himself. With Remarks Upon the Remedy for Slavery. By Charles Stearns (Henry Box Brown): 13 | Men of Maryland (George F. Bragg): 6 | The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 4 | The Light and Truth of Slavery. Aaron's History (  Aaron): 4"
2,55,2_dice_aunt dice_aunt_mos,1838,1916,"Aunt Dice: The Story of a Faithful Slave (Nina Hill Robinson): 43 | The Experience of a Slave in South Carolina (John Andrew Jackson): 2 | Men of Maryland (George F. Bragg): 2 | Narrative of Joanna; An Emancipated Slave, of Surinam. (From Stedman's Narrative of a Five Year's Expedition Against the Revolted Negroes of Surinam) (John Gabriel Stedman): 2 | Life and Adventures of James Williams, a Fugitive Slave, with a Full Description of the Underground Railroad (James  Williams): 2"
3,45,3_meeting_preach_prayer_spirit,1858,1922,"The Experience of Rev. Thomas H. Jones, Who Was a Slave for Forty-Three Years. Written by a Friend, as Related to Him by Brother Jones (Thomas H. Jones): 16 | The History of William Webb, Composed by Himself (William  Webb): 13 | Truth Stranger Than Fiction. Father Henson's Story of His Own Life (Josiah  Henson): 3 | Pastor Henry N. Jeter's Twenty-five Years Experience with the Shiloh Baptist Church and Her History. Corner School and Mary Streets, Newport, R. I. (Henry N. Jeter): 3 | Hair-breadth Escapes from Slavery to Freedom (William  Troy): 3"
4,44,4_cattle_herd_indian_trail,1901,1918,"Life and Adventures of Nat Love, Better Known in the Cattle Country as ""Deadwood Dick,"" by Himself; a True History of Slavery Days, Life on the Great Cattle Ranges and on the Plains of the ""Wild and Woolly"" West, Based on Facts, and Personal Experiences of the Author (Nat  Love): 40 | Pastor Henry N. Jeter's Twenty-five Years Experience with the Shiloh Baptist Church and Her History. Corner School and Mary Streets, Newport, R. I. (Henry N. Jeter): 3 | A Slave's Adventures Toward Freedom. Not Fiction, but the True Story of a Struggle (Peter  Bruner): 1"
5,34,5_mr jefferson_freedom_business_louis,1839,1897,"Sunshine and Shadow of Slave Life. Reminiscences as told by Isaac D. Williams to ""Tege"" (Isaac D. Williams): 8 | Life and Opinions of Julius Melbourn; with Sketches of the Lives and Characters of Thomas Jefferson, John Quincy Adams, John Randolph, and Several Other Eminent American Statesmen (Julius  Melbourn): 6 | The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 3 | Life and History of William O'Neal, or, The Man Who Sold His Wife (William  O'Neal): 3 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 2"
6,33,6_race_jesus_ethiopia_pastor,1847,1922,"Echoes from a Pioneer Life (Jared Maurice Arter): 18 | Pastor Henry N. Jeter's Twenty-five Years Experience with the Shiloh Baptist Church and Her History. Corner School and Mary Streets, Newport, R. I. (Henry N. Jeter): 9 | Men of Maryland (George F. Bragg): 2 | Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 2 | Life and Opinions of Julius Melbourn; with Sketches of the Lives and Characters of Thomas Jefferson, John Quincy Adams, John Randolph, and Several Other Eminent American Statesmen (Julius  Melbourn): 1"
7,32,7_wood_river_road_start,1858,1897,"Sunshine and Shadow of Slave Life. Reminiscences as told by Isaac D. Williams to ""Tege"" (Isaac D. Williams): 14 | Hair-breadth Escapes from Slavery to Freedom (William  Troy): 7 | Truth Stranger Than Fiction. Father Henson's Story of His Own Life (Josiah  Henson): 4 | The History of William Webb, Composed by Himself (William  Webb): 3 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 2"
8,31,8_slaveholder_treatment_human_cruelty,1839,1861,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 28 | The Light and Truth of Slavery. Aaron's History (  Aaron): 1 | Narrative of Henry Box Brown, Who Escaped from Slavery, Enclosed in a Box 3 Feet Long and 2 Wide. Written from a Statement of Facts Made by Himself. With Remarks Upon the Remedy for Slavery. By Charles Stearns (Henry Box Brown): 1 | Hair-breadth Escapes from Slavery to Freedom (William  Troy): 1"
