topic,label,description,top_words
0,Racial Exclusion at West Point,"The experiences of African American cadets at the United States Military Academy, including social ostracism and difficulties in gaining acceptance.","cadet, class, west point, plebe, flipper, west, officer, color, academy, guard"
1,Respectable Slaveholding Families,"Accounts of slaveholders who present themselves as respectable members of society, often highlighting their charitable and benevolent actions.","folger, matthia, mrs, pierson, mrs folger, mr pierson, mr folger, isabella, stone, catherine"
2,Faith and Church Leadership,"Narratives about the importance of faith in overcoming hardships, as well as the experiences of church leaders, including their roles, responsibilities, and relationships within their communities.","th, preach, elder, bowle, brethren, huntington, soul, quarterly, th went, church"
3,Fleeing to Canada for Freedom,"Narratives of enslaved individuals escaping to Canada, a destination often associated with freedom and abolitionism.","girl, colour, onesimus, john, brown, canada, freedom, fugitive, law, reuben"
4,Traveling and Navigation,"Experiences of navigating through unfamiliar territories, including woods, roads, rivers, and forests, often without clear directions or paths.","ben, wilson, road, start, wood, run, hound, river, mile, walk"
5,Letters from Friends and Admirers,"Narrators share letters or testimonials from friends, family members, or acquaintances who admire their character, skills, or accomplishments.","sancho, letter, dear, mrs, thank, sancho letter, mrs sancho, charle street, charle, honour"
6,Missionary Influence on Indigenous Peoples,"The impact of Christian missionaries on Native American and African populations, including their interactions with European colonizers and the effects of cultural exchange.","negro, african, colour, africa, race, history, missionary, knowledge, native, capacity"
7,Critique of American Slavery and Racial Hierarchy,"The topic explores the critique of slavery and racial hierarchy in America, highlighting the moral and philosophical arguments against slavery and the notion that one race is inherently superior to another.","human, obligation, law, government, natural, american, principle, civil, race, african"
8,Racial Identity and Hierarchy,"The narratives discuss the concept of racial identity, hierarchy, and the idea that African Americans are seen as inferior to whites due to their skin color. The authors express frustration with being judged based on their race rather than individual merit and propose solutions such as education and self-improvement to overcome these obstacles.","race, color, color people, negro, problem, solve, nationality, institution, school, responsible"
9,The Colored Methodist Episcopal Church and its Leadership,"The role of the Colored Methodist Episcopal Church in North America, including its leadership, organization, and contributions to the community.","church, bishop, conference, methodist, episcopal, methodist episcopal, episcopal church, general conference, elect, lane"
10,Toussaint Louverture's Military Campaigns,"The military campaigns led by Toussaint Louverture in the Haitian Revolution, including battles against French and Spanish forces.","toussaint, french, soldier, rochambeau, leclerc, louverture, troop, mountain, attack, command"
11,Education and Community Support,"The importance of education in African American communities, including the establishment and maintenance of schools, such as Lane College, and the support provided by churches and community leaders.","school, teacher, student, dollar, college, university, race, study, color, latta"
12,Critique of Northern Churches and Ministers on Slavery,"The topic explores the criticism of Northern churches and ministers for their stance on slavery, highlighting instances where they defend or support the institution, and contrast this with the actions of some individual ministers and smaller churches who actively work against slavery.","lord, jesus, thee, thou, bles, preach, pray, minister, christ, hath"
13,Traveling to Freedom,"Narratives about escaping slavery, traveling through various landscapes and encountering different people, including guides and fellow travelers.","wood, distance, king, ourselve, travel, journey, grass, thoma, water, richardson"
14,Whipping and Plantation Punishment,"The use of physical punishment, including whippings, to discipline slaves on plantations in North America.","whip, overseer, new haven, litchfield, shop, haven, dollar, barber, jack, mistress"
15,Traveling by Boat and Railroad,"Narratives about traveling by boat and railroad, including experiences on ferries, trains, and steamboats, as well as descriptions of routes, fares, and accommodations.","boat, worcester, venture, board, ferry, orlean, new orlean, travel, river, road"
16,Mulattoes' Ambition and Rebellion,"The narratives describe the aspirations and frustrations of mulatto individuals, who are caught between their desire for social mobility and their resentment towards both white colonizers and enslaved Africans. They often plot against their white parents while also being bitter enemies of the enslaved Africans.","mulatto, france, toussaint, hayti, negro, colonist, french, island, assembly, colour"
17,Critique of Slavery and Racial Supremacy,"Narrators express moral outrage at the institution of slavery, arguing that it is a form of tyranny and oppression that contradicts natural law and human morality. They critique the notion of racial superiority and argue that enslaved people are not inherently inferior or born for subjection.","philemon, christian, paul, law, liberty, onesimus, human, obligation, freedom, nature"
18,Forced Sale and Auction,"The experience of being sold or auctioned off as a slave, often resulting in separation from family and community.","auctioneer, sale, gouge, dollar, sold, colter, hundr dollar, mcgrab, bid, fellow"
19,Racial Equality and Social Justice,"Narratives about overcoming racial obstacles, promoting equality, and addressing social injustices in North America.","president, race, color, color people, negro, problem, lady gentlemen, administration, institution, office"
20,Life on Board Slave Ships,"Experiences of enslaved individuals on slave ships, including their roles, interactions with crew members, and treatment by ship captains and owners.","captain, ship, crew, vessel, board, sea, sail, deck, sailor, wound"
21,Christian Missionary Work for Africa,"Narratives about Christian missionaries and their work in Africa, including personal experiences and efforts to promote African mission-work.","johnson, africa, rev, mission, association, missionary, mr johnson, christian, chicago, african"
22,Leadership and Military Service,"Accounts of enslaved individuals who rise to leadership positions, form alliances with European powers, or participate in military campaigns, often highlighting their bravery, strategic thinking, and ability to inspire loyalty.","toussaint, mulatto, france, chief, diaz, hayti, leclerc, ois, colour, troop"
23,Whipping and Plantation Punishment,"Accounts of physical punishment inflicted on enslaved individuals by plantation owners or overseers, including floggings and whippings.","steven, cut, flog, doctor, john, used, mr black, john glasgow, glasgow, tree"
24,Whipping and Plantation Punishment,"Experiences of physical punishment, whipping, and mistreatment by plantation owners or overseers in North America.","torrey, prisoner, runaway, party, underground, wild tom, fugitive, tom, reward, company"
25,Faith and Death in Slavery,"Narratives of slave owners, preachers, or family members reflecting on the faith and death of enslaved individuals, often highlighting their spiritual struggles, conversions, and ultimate acceptance of mortality.","righteous, christ, lord, gate, strait, jesus, glory, strait gate, die, death righteous"
26,Military Life and Marching,"Experiences of soldiers and enslaved individuals during military campaigns, including marching, camp life, and interactions with local populations.","rebel, march, camp, bowl green, bowl, green, enemy, soldier, guard, surrender"
27,The Treatment and Education of Enslaved Children,"Narratives describing the experiences of enslaved children who were educated and treated by their enslavers or mistresses, often highlighting the complexities of relationships between enslaved individuals and their owners.","cassy, ritty, moore, colonel moore, colonel, miss ritty, miss, mistress, girl, beauty"
28,Christian Faith and Slavery,Narrators' expressions of Christian faith and its relationship to their experiences with slavery.,"christ, lord, davis, christian, labor, william, pittsburgh, die, church, glory"
29,Black Resistance to French Rule,"Accounts of black Haitians resisting and fighting against French rule during the period of slavery, including their interactions with Toussaint Louverture and other leaders.","rochambeau, punishment, vengeance, toussaint, french, louverture, dessaline, sea, crime, cape"
30,Elder Bowles' Evangelical Campaigns,"The narrative describes Elder Bowles' efforts to spread the gospel and promote spiritual reformation through his preaching, meetings, and baptisms in various churches within the Quarterly Meeting.","elder, elder bowle, bowle, quarterly, th, quarterly meet, brethren, preach, soul, meeting"
31,Buying and Selling Slaves,"The process of purchasing or being sold as a slave, including negotiations between masters and potential buyers.","gordon, mr gordon, archy, colonel, horse, heddy, jail, dollar, buy, stable"
32,Traveling and Navigation,"Experiences and challenges faced during travel on boats, ships, and other vessels, including navigation through rivers and oceans.","boat, liverpool, ship, liberia, captain, ocean, preach, lord, victoria, turner"
33,Toussaint Louverture's Leadership in Haiti,"The narrative explores Toussaint Louverture's role as a leader in the Haitian Revolution, including his governance of the island, relationships with European powers, and strategies for maintaining control.","island, toussaint, french, domingo, colony, louverture, negro, chief, hayti, toussaint louverture"
34,Toussaint L'Ouverture's Relationship with French Authorities,"Tensions between Toussaint L'Ouverture and the French authorities, including General Leclerc, as they navigate their roles in the Haitian Revolution.","toussaint, leclerc, captaingeneral, louverture, toussaint louverture, domingo, french, saint domingo, france, saint"
35,Whipping and Plantation Punishment,"The harsh treatment and punishment inflicted by overseers on enslaved individuals, including physical abuse and mistreatment.","overseer, whip, martin, remember, mr martin, thoma, driver, plantation, jack, run"
36,Conversion and Spiritual Crisis,"Narratives of spiritual crisis, conversion, and the struggle between good and evil, often involving a turning point or moment of reckoning.","lord, davis, soul, sin, youth, sinner, savior, convers, observe, voice"
37,Life in the Field under an Overseer,"The harsh realities of life as a field hand under the supervision of an overseer, including physical labor, punishment, and treatment by plantation owners.","plantation, major thornton, major, thornton, servant, proctor, overseer, mason, neighbor, mr mason"
38,Life on Plantations During the Civil War,"Experiences of enslaved individuals living on plantations during the American Civil War, including interactions with plantation owners and their families, daily life, and the impact of the war on their lives.","mistress, plantation, yankee, big, farm, lowly, little cabin, lowly little, plow, henry"
39,Life on a Plantation Under a Mistress,The experiences of enslaved individuals living and working on a plantation under the supervision of a mistress or female owner.,"montgomery, aunt, cassy, curtis, servant, mistress, mrs, mrs thoma, mrs montgomery, aunt emma"
40,Hope and Resilience in the Face of Oppression,"Narratives of enslaved individuals expressing hope for a better future, resilience in the face of oppression, and determination to fight for freedom.","park, ld, terrible, prisoner, government, dear, mob, street, vanity, duty"
41,Racial Identity and Progress,"Discussions around racial identity, progress, and the moral development of African Americans in North America, including their education, social status, and relationships with white people.","race, color, negro, moral, color man, color people, north, american, america, african"
42,Whipping and Plantation Punishment,"The harsh treatment and punishment inflicted upon slaves by plantation owners and overseers, including physical abuse, withholding of food and medical care, and exploitation for personal gain.","mr stubb, stubb, henson, plunder, plantation, overseer, poor man, servant, sort, sick"
43,Military Service and Education,"Experiences of African Americans in military academies, such as West Point, and their struggles with racism and prejudice while pursuing education and military careers.","camp, army, march, ticket, county, sergeant, war, camp nelson, barrack, bullitt"
44,Life at Sea and Freedom,"Experiences of enslaved individuals on ships, including voyages to various destinations, interactions with captains and owners, and attempts to gain freedom or improve circumstances.","voyage, john, sail, captain, vessel, ship, equiano, cargo, gaol, thou"
45,Toussaint L'Ouverture's Leadership and Conflict with English,"The narrative focuses on Toussaint L'Ouverture's leadership during the Haitian Revolution, his conflicts with English forces, and his interactions with French officials such as Commissioner H. Douville.","douville, toussaint, france, louverture, saint domingo, english, agent, rigaud, domingo, roume"
46,Authorship and Purpose,"Narrators discuss their motivations for writing their life stories, often citing divine inspiration or a desire to share their experiences with others.","narrative, book, born, bradford, ponder, mr ponder, history, husband, education, mrs bradford"
47,Cotton Harvesting and Processing,"The process of growing, picking, and preparing cotton for shipment, including tasks such as plowing, sowing seeds, and packing bales.","plant, pick, garden, cotton, seed, task, acre, hoe, weed, crop"
48,The End of Slavery in the Americas,"Narratives about the abolition of slavery and its aftermath in North America, including the impact on former slave owners and the prospects for freedom.","france, toussaint, liberty, island, tousaint, domingo, dessaline, saint domingo, government, proclaim"
49,Forced Sale and Transportation,"Narratives about being forcibly sold or transported to a new location, often under coercive circumstances.","horse, plantation, sell, bullock, mr bullock, dansley, mistress, enquir, hir, negro"
50,Plantation Life in Virginia,"The experiences of enslaved individuals on plantations in Virginia, including their treatment by overseers and plantation owners, the impact of slavery on family relationships, and the daily struggles of enslaved people.","gordon, mr gordon, slavehold, virginia, plantation, planter, overseer, class, crowd, class poor"
51,Itinerant Preaching and Church Leadership,"The challenges and rewards of being a traveling preacher, including the emotional toll on oneself and one's family, as well as the importance of leadership within the church community.","th, labor, preach, brethren, elder, church, bowle, sabbath, soul, huntington"
52,Pursuing Freedom,"Narratives about escaping slavery, seeking freedom, and the experiences of formerly enslaved individuals in their pursuit of liberty.","venture, cottrell, fortunate, smith, valentine, wife child, toussaint, curtis, sherriff, freedom"
53,Church Support and Division,"The challenges faced by the Colored Methodist Episcopal Church in terms of financial support, division among its members, and competition from other churches such as the African Methodist Episcopal Church.","conference, bishop, church, general conference, episcopal, methodist episcopal, antiprohibition, methodist, episcopal church, dollar"
54,Becoming a Licensed Preacher,"The process of obtaining a license to preach in a church or community, including struggles with self-doubt and seeking guidance from others.","preach, license, church, license preach, new castle, castle, prayer, taylor, elder, preacher"
55,Plantation Justice and Punishment,"The ways in which slave owners and plantation officials enforced their authority through violence, intimidation, and manipulation of the legal system.","judge, court, committee, merchant, fellow, thoma, overseer, letter, gambler, robinson"
56,The Transatlantic Slave Trade,"Narratives about the capture, transportation, and sale of enslaved Africans across the Atlantic Ocean, including descriptions of slave ships, markets, and the experiences of enslaved individuals during this period.","northern, flop, used, deck, market, brown, vessel, cargo, southern, ship"
57,Education and Personal Growth,"The importance of education and personal growth for enslaved individuals, including their experiences in schools and colleges, as well as their struggles to overcome racial prejudices and achieve their goals.","school, instruction, college, piece, master william, progress, pipe, oh, teacher, tom"
