topic,label,description,top_words
0,"Farm, Bond, Scott, Cotton",{,"farm, bond, scott, cotton, brick, crop, mr bond, potato, acre, fitzpatrick"
1,Longing for Family and Freedom,Narratives about the emotional struggles of enslaved individuals as they yearn to be reunited with their families and experience freedom.,"paul, oh, mistress, love, yes, ah, darl, sweet, mamma, young mistress"
2,Struggling for Freedom,"Narratives of enslaved individuals seeking freedom through various means, including attempts to purchase their own freedom or find sympathetic buyers.","peter, phillip, dollar, friedman, freedom, hundr dollar, reply, sell, pay, note"
3,Escape by Sea,"Narratives of attempting to escape from slavery via ship or boat, including descriptions of voyages, sea travel, and encounters with captains, sailors, and other individuals involved in the slave trade.","ship, vessel, board, captain, boat, steamer, sail, sea, voyage, shore"
4,Expressions of Sympathy and Gratitude,"Narrators express condolences to others for their losses or share gratitude towards those who have helped them, often invoking a higher power such as God or the Almighty.","lord, pray, prayer, toussaint, jesus, sarah, dear, love, bles, faith"
5,Family Relationships and Guidance,"Narratives about relationships with family members, guidance from caregivers or mentors, and the impact of these relationships on the narrator's life.","brother, missionary, sister, tear, saat, love, yes, african, jesus, oh"
6,American Identity and Nationalism,"The concept of American identity and nationalism as perceived by individuals from different backgrounds, including the idea that Americans are a nation without a shared language, creed, or history.","antislavery, american, nation, boston, convention, color people, color man, public, color american, society"
7,The Struggle for Equal Rights and Representation,"Narratives highlighting the African American struggle for equal rights, representation, and justice in a society that claims to be free and just.","liberty, society, freedom, unit, unit state, act, law, free color, fugitive, american"
8,Fighting for Freedom and Citizenship,"Narratives about African Americans fighting in the American Civil War, seeking citizenship, and advocating for their rights as citizens, including voting and participating in government.","american, soldier, citizen, battle, war, liberty, attuck, color man, unit, unit state"
9,Confrontations with Slave Catchers,Narrators describe their encounters with slave catchers and bounty hunters who attempt to capture them while they are free or on the run.,"miller, madison, store, gavitt, jail, seward, st louis, trial, brown, postlewaite"
10,Ministerial Training and Early Ministry,"The process of becoming a licensed minister, including seeking guidance from other ministers, receiving training, and facing financial challenges in supporting one's family while pursuing ministry.","writer, yea, amen, conference, lov, case, preach, minister, hawkin, dear"
11,Whipping and Plantation Punishment,"The use of physical punishment, such as flogging or whipping, by plantation overseers or law enforcement officials to discipline enslaved individuals for perceived infractions or transgressions.","darkey, dogs, plantation, overseer, possum, banjo, fence, escap, mallory, indian"
12,Traveling to Work or Deliveries,"Narrators describe their journeys to work, delivering messages or goods, and navigating the landscape of plantations and rural areas.","cyrus, road, journey, jerry, horse, travel, oclock, rain, boat, barn"
13,Effective Classroom Management,"Strategies for organizing and supervising students in a classroom setting, including division of labor, review and correction of work, and maintaining order and discipline.","teacher, pupil, class, verb, lesson, begin, correctly, division, teach, written"
14,Faith in Salvation and Heaven,"Narrators express their personal faith in Christ's saving grace, looking forward to a life after death in heaven, and the hope of being reunited with loved ones.","heaven, harry, lord, christ, yea, mr oneal, oneal, saviour, amen, truly"
15,Theft of Money from Stores,"Narratives detailing thefts of money from stores, including descriptions of methods used and individuals involved.","madison, brown, ennis, warrick, store, seward, street, baker, rob, vault"
16,"Faith, Redemption, and the Afterlife","Narratives of spiritual struggle, redemption through faith in Jesus Christ, and the afterlife, often featuring themes of love, loss, and longing.","jesus, sarah, pray, lord, love, sweep, sorrow, die, heaven, husband"
17,Reuniting with Family Members,"Narratives about reuniting with family members who had been separated by slavery, including searching for loved ones and being reunited after a long time apart.","vina, peter, aunt, gist, toussaint, aunt sally, mistress, rard, husband, sally"
18,The Haitian Revolution and its Impact on Slavery,"Narratives of the Haitian Revolution's influence on slavery in the Caribbean, particularly in St. Domingo (Haiti), and its connection to broader themes of freedom, equality, and social change.","army, war, st domingo, domingo, planter, british, island, soldier, toussaint, battle"
19,Church Support and Division,"The challenges faced by the Colored Methodist Episcopal Church in terms of financial support, division among its members, and competition from other churches such as the African Methodist Episcopal Church.","church, conference, bishop, rev, connection, circuit, elder, methodist, allen, brethren"
20,Education and Self-Improvement,"Experiences of enslaved individuals seeking education, teaching others, and self-improvement through reading and writing, often in secret or after emancipation.","school, teach, taught, education, class, industrial, scholar, study, exhibition, teacher"
21,The Formation and Organization of the Colored Methodist Episcopal Church,"Narratives about the establishment and governance of the Colored Methodist Episcopal Church in North America, including its relationship with the Methodist Episcopal Church South and the role of bishops and conferences.","church, bishop, methodist, conference, episcopal, methodist episcopal, episcopal church, general conference, elect, organization"
22,Education and Self-Improvement,"The importance of education in overcoming societal obstacles and achieving respectability, as well as the challenges faced by African Americans in accessing educational opportunities.","church, native, society, cape, dr, cape town, government, study, unit, religious"
23,Surviving in the Wild and Hunting for Food,"The challenges of living off the land as a slave, including hunting and gathering food, dealing with wildlife, and protecting crops from wild game.","hunter, coon, tree, hunt, corn, turkey, settler, dogs, indian, logs"
24,Observations on European Culture,"Narrators describe their experiences and observations of European culture, architecture, and daily life during their travels to Paris and other locations.","palace, paris, louis, queen, build, wall, monument, splendid, french, napoleon"
25,Methodist Episcopal Church's Role in Education,"The Methodist Episcopal Church's involvement in education, including its support for African American institutions of learning, property ownership, and leadership roles.","church, professor, conference, rev, college, bishop, organiz, property, methodist, thousand dollar"
26,Finding Freedom and Community,"Narratives about escaping slavery, finding freedom, and building new lives in communities such as Syracuse and Canada, often facilitated by abolitionist societies like the Shakers.","peter, dollar, syracuse, shaker, letter, friedman, society, lady, seth, mr friedman"
27,Spiritual Resistance and Resilience,"Narratives of enslaved individuals finding solace in spirituality, prayer, and biblical references to cope with their circumstances.","thou, shalt, thee, lord, thou shalt, pray, row, jesus, love, craw"
28,Leadership and Governance in Haiti,"The role of leaders such as Toussaint Louverture, Christophe, and Dessalines in shaping the governance and leadership of Haiti during its struggle for independence.","christophe, petion, government, rigaud, island, hayti, toussaint, dessaline, mulatto, army"
29,The Influence of Genius and Inspiration,"Narratives about the power of creativity, inspiration, and genius in shaping one's life and work, often highlighting the tension between artistic pursuits and external pressures or circumstances.","poet, pope, genius, poem, hood, sheet, byron, wine, grave, landlady"
30,Traveling for Work or Leisure,"Narratives about traveling to new locations for employment, business, or personal reasons, including transportation modes, accommodations, and experiences.","pat, car, bond, train, lawrence, conductor, cent, dollar, pay, boat"
31,Life on Plantations During the Civil War,"Experiences of enslaved individuals living on plantations during the American Civil War, including daily life, interactions with plantation owners and other slaves, and the impact of the war on their lives.","soldier, plantation, pig, cake, mistress, yankee, eat, roll, allowance, pork"
32,Whipping and Plantation Punishment,The use of physical violence and intimidation by slave owners and overseers to control and punish enslaved individuals for perceived infractions or disobedience.,"whip, says, massr, bout, overseer, ill, aaron, id, beat, shirt"
33,Escape from Slavery,"The process of fleeing from a slave owner or plantation, often due to harsh treatment or the desire for freedom.","run away, walter, fellow, boat, george, peter, canada, reply, old man, yes"
34,Plantation Labor Management,"The management of labor on plantations, including the organization of work, tracking of time, and discipline for employees.","gin, engine, plant, charley, seed, scott, cotton, gin plant, bond, bale"
