topic,label,description,top_words
0,Spiritual Resilience in the Face of Death,"Narratives of finding comfort and strength in one's faith when confronted with mortality, often using metaphorical language to describe the struggle between life and death.","oer, thou, thee, thine, sky, soul, sorrow, evry, tis, heaven"
1,Critique of Slaveholder's Use of Religion,"Slave narratives criticizing slaveholders' use of religion to justify and maintain slavery, highlighting the hypocrisy between their professed Christian values and their treatment of enslaved people.","religion, slaveholder, antislavery, church, abolitionist, christian, christianity, proslavery, sin, principle"
2,Racial Identity and Prejudice,The struggle for racial identity and equality in the face of prejudice and societal norms.,"race, color people, prejudice, equality, social, color man, white people, unit, social equality, unit state"
3,Faith and Redemption,Narratives of spiritual liberation and the power of faith in overcoming physical bondage.,"thou, christ, righteous, lord, jesus, soul, thee, jesus christ, pray, heaven"
4,Ministerial Encounters and Book Sales,"Narrators' experiences of meeting pastors, preaching at churches, and selling books to congregations during their travels.","book, pastor, sell book, buy book, preach, bought book, buy, church, sell, sold book"
5,Respectability and Social Standing,"Narrators' observations on the social standing and respectability of individuals, particularly those from different racial or economic backgrounds.","folger, matthia, mrs folger, mr folger, pierson, mr pierson, isabella, mrs, catherine, mr stone"
6,Authorial Intentions and Historical Context,"The importance of impartiality, personal experience, and historical context in writing about slavery, as well as the author's goals for their narrative.","narrative, book, author, written, history, story, volume, public, uncle tom, born"
7,Convict Labor and Punishment in Prisons,"The experiences of individuals who were convicted of crimes and sentenced to prison or labor, including the conditions of their confinement, treatment by wardens and guards, and attempts to escape or rebel against their circumstances.","convict, prison, warden, prisoner, cell, sentence, sentenc, contract, wall, crime"
8,Whipping and Plantation Punishment,"The use of physical punishment, including whippings, to discipline enslaved individuals on plantations in North America.","whip, mistress, covey, overseer, beat, shirt, goram, field, lashe, kitchen"
9,Conversion to Ministry,"The process of becoming a minister or preacher, including struggles with faith, seeking guidance from others, and overcoming personal doubts.","elder, bowle, preach, th, brethren, elder bowle, huntington, th went, quarterly, quarterly meet"
10,African American Preachers in Antebellum Era,"The experiences and roles of African American preachers during the time period leading up to the American Civil War, including their relationships with slave owners and communities.","jasper, church, preach, mr jasper, rev, preacher, minister, color people, sermon, baptist"
11,Encounters with Rebel Soldiers,"Experiences of enslaved individuals interacting with rebel soldiers, including encounters on farms, roads, and in camps.","rebel, camp, soldier, regiment, fort, march, officer, wound, army, gen"
12,Education and Institutional Development,"The importance of education and institutional development in African American communities, including the establishment and growth of schools such as Tuskegee Normal and Industrial Institute.","school, student, tuskegee, education, teacher, farm, department, teach, build, building"
13,Whipping and Plantation Punishment,"The use of physical punishment, including whippings, floggings, and the use of iron horns with bells attached to prevent escape, as a means of controlling and disciplining enslaved people on plantations in North America.","whip, murder, gore, lloyd, plantation, flog, county, patroller, overseer, punishment"
14,Sancho Letters and Petitions,"Narratives featuring letters or petitions written by enslaved individuals, often using pseudonyms like 'Sancho', to express their experiences, opinions, and pleas for help.","sancho, letter, sancho letter, mrs sancho, mrs, dear, thank, charle street, ign sancho, ign"
15,Limited Rights and Protections for Slaves,"The legal system in the United States during this period severely limited the rights and protections of slaves, treating them as property rather than individuals. They were subject to harsh punishments, including physical correction and even death, for minor infractions or perceived disobedience. The law also restricted their ability to contract marriages, inherit property, or engage in business activities without their master's permission.","law, laws, public opinion, protection, penalty, opinion, legal, white person, court, public"
16,Plantation Life and Labor,"The daily experiences of enslaved individuals on plantations, including their living conditions, work routines, and interactions with overseers.","cloth, field, plantation, overseer, corn, cotton, oh oh, generally, allowance, pair"
17,Forced Sale of Family Members,"The emotional and psychological impact on enslaved individuals when family members are forcibly sold away from them, often to distant locations.","sold, sale, hall, sell, hugh hall, bought, husband, mr beveridge, beveridge, samuel hall"
18,Encounters with Slave Traders,"Narratives about interactions with slave traders who buy, sell, or propose to purchase enslaved individuals, highlighting the trauma and fear associated with these encounters.","trader, sold, sale, new master, fellow, plantation, dansley, buy, slavetrader, sell"
19,The Incompatibility of Liberty and Slavery,"Narratives highlighting the contradiction between the ideals of liberty and freedom enshrined in the US Constitution and the reality of slavery, emphasizing the need for abolition and the purification of government from its support of slavery.","liberty, government, constitution, principle, territory, oh set, popular sovereignty, labor, hear voice, war"
20,Religious Experience and Salvation,"Narratives about spiritual experiences, salvation, and the role of Christianity in the lives of enslaved individuals.","jesus, lord, christ, soul, sez, pray, baptiz, salvation, ah, sinner"
21,Christian Faith and Resilience,"Narratives of Christian faith, resilience, and spiritual practices in the face of slavery and hardship.","christ, lord, resurrection, christian, preacher, dr walker, bible, gospel, african preacher, language"
22,African Methodist Episcopal Zion Church and African American Leadership,"The formation and governance of the African Methodist Episcopal Zion Church, including its relationship with white bishops and conferences, as well as the challenges faced by its leaders in terms of financial support and personal hardship.","church, conference, member, pastor, sabbathschool, baptist, bishop, membership, rev, baptist church"
