topic,topic_label,chunks,top_words,earliest_publication_year,latest_publication_year,top_documents
0,Whipping and Plantation Punishment,76,"whip, flog, overseer, tie, plantation, testimony, cruelty, virginia, letter, boy",1838.0,1895.0,American Slavery As It Is: Testimony of a Thousand Witnesses (58 chunks); The Experience of a Slave in South Carolina (5 chunks); Sunshine and Shadow of Slave Life. Reminiscences as told by Isaac D... (2 chunks)
1,Limitations of Liberty in the Post-War Era,66,"government, constitution, liberty, american, war, union, laws, principle, political, opinion",1839.0,1922.0,"Life and Opinions of Julius Melbourn; with Sketches of the Lives an... (25 chunks); Narrative of Henry Box Brown, Who Escaped from Slavery, Enclosed in... (13 chunks); Men of Maryland (6 chunks)"
2,Separation and Reunion,55,"dice, aunt dice, aunt, mos, riverside, sam, trevor, mos sam, evelyn, charley",1838.0,1916.0,"Aunt Dice: The Story of a Faithful Slave (43 chunks); Life and Adventures of James Williams, a Fugitive Slave, with a Ful... (2 chunks); Men of Maryland (2 chunks)"
3,Plantation Christianity and Slave Spirituality,45,"meeting, preach, prayer, spirit, pray, christian, service, lord, rev, plantation",1858.0,1922.0,"The Experience of Rev. Thomas H. Jones, Who Was a Slave for Forty-T... (16 chunks); The History of William Webb, Composed by Himself (13 chunks); Hair-breadth Escapes from Slavery to Freedom (3 chunks)"
4,Life on the Range,44,"cattle, herd, indian, trail, range, ranch, saddle, buffalo, boys, cow",1901.0,1918.0,"Life and Adventures of Nat Love, Better Known in the Cattle Country... (40 chunks); Pastor Henry N. Jeter's Twenty-five Years Experience with the Shilo... (3 chunks); A Slave's Adventures Toward Freedom. Not Fiction, but the True Stor... (1 chunks)"
5,Life in Missouri and Experiences with Plantation Owners,34,"mr jefferson, freedom, business, louis, st louis, missouri, st, jefferson, mr pendleton, pendleton",1839.0,1897.0,"Sunshine and Shadow of Slave Life. Reminiscences as told by Isaac D... (8 chunks); Life and Opinions of Julius Melbourn; with Sketches of the Lives an... (6 chunks); Life and History of William O'Neal, or, The Man Who Sold His Wife (3 chunks)"
6,Divine Providence and Racial Identity,33,"race, jesus, ethiopia, pastor, service, divine, prophecy, thee, jeter, rev",1847.0,1922.0,"Echoes from a Pioneer Life (18 chunks); Pastor Henry N. Jeter's Twenty-five Years Experience with the Shilo... (9 chunks); Booker T. Washington, Builder of a Civilization (2 chunks)"
7,Traveling through Wilderness and Crossing Bodies of Water,32,"wood, river, road, start, mile, stop, canada, journey, bridge, bank",1858.0,1897.0,Sunshine and Shadow of Slave Life. Reminiscences as told by Isaac D... (14 chunks); Hair-breadth Escapes from Slavery to Freedom (7 chunks); Truth Stranger Than Fiction. Father Henson's Story of His Own Life (4 chunks)
8,Whipping and Plantation Punishment,31,"slaveholder, treatment, human, cruelty, testimony, whip, treat, driver, regard, slave state",1839.0,1861.0,"American Slavery As It Is: Testimony of a Thousand Witnesses (28 chunks); Hair-breadth Escapes from Slavery to Freedom (1 chunks); Narrative of Henry Box Brown, Who Escaped from Slavery, Enclosed in... (1 chunks)"
9,Racial Identity and Prejudice,30,"race, washington, mr washington, white people, color people, school, prejudice, booker washington, booker, student",1895.0,1916.0,"Booker T. Washington, Builder of a Civilization (24 chunks); The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (3 chunks); Men of Maryland (2 chunks)"
10,The Institution of Slavery,28,"testimony, cruel, aaron, slaveholder, sister, million, cruelty, fearful, plantation, says",1838.0,1897.0,"American Slavery As It Is: Testimony of a Thousand Witnesses (8 chunks); Narrative of Henry Box Brown, Who Escaped from Slavery, Enclosed in... (7 chunks); Narrative of Joanna; An Emancipated Slave, of Surinam. (From Stedma... (3 chunks)"
11,Finding Freedom and Employment in the North,28,"fugitive, freedom, colour, reuben, coker, girl, canada, maryland, book, volume",1845.0,1914.0,"Hair-breadth Escapes from Slavery to Freedom (7 chunks); Men of Maryland (5 chunks); Life and Adventures of James Williams, a Fugitive Slave, with a Ful... (4 chunks)"
12,Whipping and Plantation Punishment by Female Supervisors,28,"whip, mistress, madam, pete, leah, sick, female, baby, mrs, flog",1839.0,1897.0,"American Slavery As It Is: Testimony of a Thousand Witnesses (15 chunks); Life and Adventures of James Williams, a Fugitive Slave, with a Ful... (5 chunks); Thirty Years a Slave: From Bondage to Freedom: The Institution of S... (4 chunks)"
14,Childhood and Slave Labor,26,"pass, perkinson, tom, farm, owner, poor white, whip, servant, bruce, boss",1849.0,1907.0,"The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (16 chunks); Thirty Years a Slave: From Bondage to Freedom: The Institution of S... (6 chunks); Life and Adventures of James Williams, a Fugitive Slave, with a Ful... (1 chunks)"
13,Separation from Family,26,"maria, st john, st, colonel boyd, boyd, colonel, laura, mr st, mrs, melbourn",1832.0,1896.0,"Life and Opinions of Julius Melbourn; with Sketches of the Lives an... (16 chunks); Life and History of William O'Neal, or, The Man Who Sold His Wife (3 chunks); The Experience of Rev. Thomas H. Jones, Who Was a Slave for Forty-T... (2 chunks)"
15,Religious Freedom and African American Community,25,"bettis, rev, bishop, preach, race, rev alexander, alexander bettis, convention, douglass, alexander",1861.0,1916.0,"Men of Maryland (10 chunks); Brief Sketch of the Life and Labors of Rev. Alexander Bettis. Also ... (6 chunks); Booker T. Washington, Builder of a Civilization (3 chunks)"
